Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
9.146023045048222,000000Z,a466c7,adsb_icao,DAL2230 ,N383DN,B738,28000,29125,495.0,204.34,0,2661,none,A3,35.951083,-79.988183,8,186,0.068,2,1,10,2,3,perhour,2,2,0,0,[],[],16602751,0.0,-10.9
9.833010059716472,000005Z,a466c7,adsb_icao,DAL2230 ,N383DN,B738,28000,29125,495.0,204.34,64,2661,none,A3,35.940536,-79.99403,8,186,0.008,2,1,10,2,3,perhour,2,2,0,0,[],[],16602799,0.0,-13.8
9.96405451237931,000155Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,22000,22950,438.8,260.69,0,3641,none,A2,35.957336,-79.827919,8,186,0.059,2,1,9,1,3,perhour,2,2,0,0,[],[],9096978,0.1,-14.3
9.747219936596268,000200Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,22000,22950,433.4,259.36,64,3641,none,A2,35.955551,-79.84045,8,186,0.059,2,1,9,1,3,perhour,2,2,0,0,[],[],9097019,0.1,-7.9
9.594350258726356,000205Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,22000,22950,429.3,258.72,64,3641,none,A2,35.953783,-79.851555,8,186,0.471,2,1,9,1,3,perhour,2,2,0,0,[],[],9097061,0.2,-7.8
9.463909195060076,000210Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,22000,22950,424.0,258.16,-64,3641,none,A2,35.951735,-79.863885,8,186,0.24,2,1,9,1,3,perhour,2,2,0,0,[],[],9097103,0.1,-12.6
9.83021382864206,000215Z,a32acf,adsb_icao,DAL518  ,N303DN,A321,29000,30175,455.8,53.83,-64,3365,none,A3,36.118011,-80.138397,8,186,0.387,2,1,9,1,3,perhour,2,2,0,0,[],[],19614082,0.0,-10.7
9.379628626794116,000215Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,22000,22950,418.6,257.72,64,3641,none,A2,35.949593,-79.87604,8,186,0.0,2,1,9,1,3,perhour,2,2,0,0,[],[],9097145,0.0,-7.5
9.34661881595403,000220Z,a32acf,adsb_icao,DAL518  ,N303DN,A321,29000,30175,455.8,53.83,-64,3365,none,A3,36.124676,-80.127089,8,186,0.023,2,1,9,1,3,perhour,2,2,0,0,[],[],19614131,0.0,-9.0
9.340345044538411,000220Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,22000,22950,412.0,257.38,0,3641,none,A2,35.947678,-79.886627,8,186,0.488,2,1,9,1,3,perhour,2,2,0,0,[],[],9097189,0.3,-15.9
8.934795345226906,000225Z,a32acf,adsb_icao,DAL518  ,N303DN,A321,29000,30175,455.2,53.94,-64,3365,none,A3,36.130692,-80.11694,8,186,0.057,2,1,9,1,3,perhour,2,2,0,0,[],[],19614182,0.0,-8.0
9.332622209165473,000225Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,22000,22925,406.1,257.2,-128,3641,none,A2,35.945526,-79.898415,8,186,0.249,2,1,9,1,3,perhour,2,2,0,0,[],[],9097230,0.0,-14.0
8.528014470148332,000230Z,a32acf,adsb_icao,DAL518  ,N303DN,A321,29000,30175,454.4,53.86,0,3365,none,A3,36.136963,-80.106297,8,186,0.078,2,1,9,1,3,perhour,2,2,0,0,[],[],19614233,0.0,-9.3
9.365603302767164,000230Z,a86540,adsb_icao,PDT5823 ,N640AE,E145,21975,22925,400.5,256.87,-128,3641,none,A2,35.943329,-79.91003,8,186,0.0,2,1,9,1,3,perhour,2,2,0,0,[],[],9097275,0.0,-9.9
