DT Time,Aircraft(Obj),ATIS Transcription Start,ATIS Transcription End,ATIS Transcription Text,Approach/Departure Transcription Start,Approach/Departure Transcription End,Approach/Departure Transcription Text,TOWER Transcription Start,TOWER Transcription End,TOWER Transcription Text
000000Z,"[{""Time"": ""000000Z"", ""Hex"": ""a466c7"", ""Distance to GSO"": 9.146023045, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""DAL2230 "", ""Aircraft Registration"": ""N383DN"", ""Aircraft Type"": ""B738"", ""Altitude Barometric"": ""28000"", ""Altitude Geometric"": 29125.0, ""Ground Speed"": 495.0, ""Track"": 204.34, ""Barometric Rate"": 0.0, ""Squawk Code"": 2661.0, ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 35.951083, ""Longitude"": -79.988183, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.068, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 10.0, ""NAC V"": 2.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 16602751, ""Seen"": 0.0, ""RSSI"": -10.9}]",00:00:00,00:00:03,"""runway two three rig fli fo zro""",00:00:00,00:00:17,"""zero heading zero eight zero cleare fo i zerozeroton zwowtt te""",00:00:00,00:00:02,"""three golf k"""
000100Z,"[{""Time"": ""000000Z"", ""Hex"": ""a466c7"", ""Distance to GSO"": 9.146023045, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""DAL2230 "", ""Aircraft Registration"": ""N383DN"", ""Aircraft Type"": ""B738"", ""Altitude Barometric"": ""28000"", ""Altitude Geometric"": 29125.0, ""Ground Speed"": 495.0, ""Track"": 204.34, ""Barometric Rate"": 0.0, ""Squawk Code"": 2661.0, ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 35.951083, ""Longitude"": -79.988183, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.068, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 10.0, ""NAC V"": 2.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 16602751, ""Seen"": 0.0, ""RSSI"": -10.9}, {""Time"": ""000155Z"", ""Hex"": ""a86540"", ""Distance to GSO"": 9.964054512, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""PDT5823 "", ""Aircraft Registration"": ""N640AE"", ""Aircraft Type"": ""E145"", ""Altitude Barometric"": ""22000"", ""Altitude Geometric"": 22950.0, ""Ground Speed"": 438.8, ""Track"": 260.69, ""Barometric Rate"": 0.0, ""Squawk Code"": 3641.0, ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 35.957336, ""Longitude"": -79.827919, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.059, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 9096978, ""Seen"": 0.1, ""RSSI"": -14.3}]",00:00:50,00:01:19,"""taxi way delta closed between taxi way kilo and taxi way delto one taxi way kilo klosed between runway one for and taxi way kilo one taxi way te one betwen taxi way delta and  ils runway five right out of service runway five righ approach fht istm out of service runway five right precision approach passing t kaber out of servie runway two three righlt rea tak runway hold short and""",00:01:00,00:01:11,"""t onefthank youower good night""",00:00:50,00:01:03,"""osevn zero ir seven zero one trhtvorc"""
000200Z,"[{""Time"": ""000155Z"", ""Hex"": ""a86540"", ""Distance to GSO"": 9.964054512, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""PDT5823 "", ""Aircraft Registration"": ""N640AE"", ""Aircraft Type"": ""E145"", ""Altitude Barometric"": ""22000"", ""Altitude Geometric"": 22950.0, ""Ground Speed"": 438.8, ""Track"": 260.69, ""Barometric Rate"": 0.0, ""Squawk Code"": 3641.0, ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 35.957336, ""Longitude"": -79.827919, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.059, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 9096978, ""Seen"": 0.1, ""RSSI"": -14.3}, {""Time"": ""000215Z"", ""Hex"": ""a32acf"", ""Distance to GSO"": 9.830213829, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""DAL518  "", ""Aircraft Registration"": ""N303DN"", ""Aircraft Type"": ""A321"", ""Altitude Barometric"": ""29000"", ""Altitude Geometric"": 30175.0, ""Ground Speed"": 455.8, ""Track"": 53.83, ""Barometric Rate"": -64.0, ""Squawk Code"": 3365.0, ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 36.118011, ""Longitude"": -80.138397, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.387, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 19614082, ""Seen"": 0.0, ""RSSI"": -10.7}]",00:01:34,00:02:14,"""reenborow aerport att informatio echo two three five four zuluwnd calm one zero velig two five thousand broken two three two point three a e thre zero two four visual approach five righ five left an us noci runway one four three two cos taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and""",00:01:58,00:02:16,"""ive five n six fivecosseob five""",00:01:57,00:02:03,"""one delta co cross rum five alf"""
000300Z,"[{""Time"": ""000200Z"", ""Hex"": ""a86540"", ""Distance to GSO"": 9.747219937, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""PDT5823 "", ""Aircraft Registration"": ""N640AE"", ""Aircraft Type"": ""E145"", ""Altitude Barometric"": ""22000"", ""Altitude Geometric"": 22950.0, ""Ground Speed"": 433.4, ""Track"": 259.36, ""Barometric Rate"": 64.0, ""Squawk Code"": 3641.0, ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 35.955551, ""Longitude"": -79.84045, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.059, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 9097019, ""Seen"": 0.1, ""RSSI"": -7.9}, {""Time"": ""000215Z"", ""Hex"": ""a32acf"", ""Distance to GSO"": 9.830213829, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""DAL518  "", ""Aircraft Registration"": ""N303DN"", ""Aircraft Type"": ""A321"", ""Altitude Barometric"": ""29000"", ""Altitude Geometric"": 30175.0, ""Ground Speed"": 455.8, ""Track"": 53.83, ""Barometric Rate"": -64.0, ""Squawk Code"": 3365.0, ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 36.118011, ""Longitude"": -80.138397, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.387, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 19614082, ""Seen"": 0.0, ""RSSI"": -10.7}, {""Time"": ""000315Z"", ""Hex"": ""a2d112"", ""Distance to GSO"": 7.264759733, ""Airspace Status"": ""Unknown"", ""Data Source Type"": ""adsr_icao"", ""Flight Number"": NaN, ""Aircraft Registration"": ""N2805R"", ""Aircraft Type"": ""TB21"", ""Altitude Barometric"": ""1400"", ""Altitude Geometric"": 1725.0, ""Ground Speed"": 128.8, ""Track"": 63.24, ""Barometric Rate"": 64.0, ""Squawk Code"": NaN, ""Emergency"": NaN, ""Category"": NaN, ""Latitude"": 36.160034, ""Longitude"": -79.808865, ""NIC Navigation Integrity Category"": 0.0, ""RC Navigation Accuracy Category"": 0.0, ""Seen Position"": 0.809, ""Version"": NaN, ""NIC Baro"": NaN, ""NAC P"": NaN, ""NAC V"": 0.0, ""SIL Source Integrity Level"": NaN, ""SIL Type"": ""perhour"", ""GVA"": NaN, ""SDA System Design Assurance"": NaN, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 53933, ""Seen"": 0.8, ""RSSI"": -21.4}]",00:02:54,00:03:33,"""one zero velg two five thousand broken two three two point three ati  three zero two four visual ap proach five right five left nut irunway one four three two close taxi way delta close between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and te ils runway five right out of service runway five right pproach lttm out of service""",00:02:53,00:03:01,"""four five two five""",00:02:50,00:03:05,"""rutoweretofuru"""
000400Z,"[{""Time"": ""000300Z"", ""Hex"": ""a32acf"", ""Distance to GSO"": 6.90734188, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""DAL518  "", ""Aircraft Registration"": ""N303DN"", ""Aircraft Type"": ""A321"", ""Altitude Barometric"": ""28975"", ""Altitude Geometric"": 30125.0, ""Ground Speed"": 454.4, ""Track"": 53.86, ""Barometric Rate"": -64.0, ""Squawk Code"": 3365.0, ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 36.173603, ""Longitude"": -80.0444, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.48, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 19614513, ""Seen"": 0.0, ""RSSI"": -9.4}, {""Time"": ""000315Z"", ""Hex"": ""a2d112"", ""Distance to GSO"": 7.264759733, ""Airspace Status"": ""Unknown"", ""Data Source Type"": ""adsr_icao"", ""Flight Number"": NaN, ""Aircraft Registration"": ""N2805R"", ""Aircraft Type"": ""TB21"", ""Altitude Barometric"": ""1400"", ""Altitude Geometric"": 1725.0, ""Ground Speed"": 128.8, ""Track"": 63.24, ""Barometric Rate"": 64.0, ""Squawk Code"": NaN, ""Emergency"": NaN, ""Category"": NaN, ""Latitude"": 36.160034, ""Longitude"": -79.808865, ""NIC Navigation Integrity Category"": 0.0, ""RC Navigation Accuracy Category"": 0.0, ""Seen Position"": 0.809, ""Version"": NaN, ""NIC Baro"": NaN, ""NAC P"": NaN, ""NAC V"": 0.0, ""SIL Source Integrity Level"": NaN, ""SIL Type"": ""perhour"", ""GVA"": NaN, ""SDA System Design Assurance"": NaN, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 53933, ""Seen"": 0.8, ""RSSI"": -21.4}]",00:03:59,00:04:08,"""greanbr airport ai information echo two three five four zulu wind calm  one o zero""",00:03:56,00:04:00,"""epep""",00:04:00,00:04:02,"""two four"""
000500Z,"[{""Time"": ""000400Z"", ""Hex"": ""a32acf"", ""Distance to GSO"": 9.063979415, ""Airspace Status"": ""Passing"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""DAL518  "", ""Aircraft Registration"": ""N303DN"", ""Aircraft Type"": ""A321"", ""Altitude Barometric"": ""28950"", ""Altitude Geometric"": 30100.0, ""Ground Speed"": 453.8, ""Track"": 53.96, ""Barometric Rate"": 64.0, ""Squawk Code"": 3365.0, ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 36.247947, ""Longitude"": -79.918466, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.408, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 19615083, ""Seen"": 0.3, ""RSSI"": -12.2}, {""Time"": ""000400Z"", ""Hex"": ""a2d112"", ""Distance to GSO"": 7.779566345, ""Airspace Status"": ""Unknown"", ""Data Source Type"": ""adsr_icao"", ""Flight Number"": NaN, ""Aircraft Registration"": ""N2805R"", ""Aircraft Type"": ""TB21"", ""Altitude Barometric"": ""1400"", ""Altitude Geometric"": 1725.0, ""Ground Speed"": 139.0, ""Track"": 52.31, ""Barometric Rate"": -768.0, ""Squawk Code"": 1200.0, ""Emergency"": ""none"", ""Category"": NaN, ""Latitude"": 36.164841, ""Longitude"": -79.800053, ""NIC Navigation Integrity Category"": 0.0, ""RC Navigation Accuracy Category"": 0.0, ""Seen Position"": 31.398, ""Version"": NaN, ""NIC Baro"": NaN, ""NAC P"": NaN, ""NAC V"": 0.0, ""SIL Source Integrity Level"": NaN, ""SIL Type"": ""perhour"", ""GVA"": NaN, ""SDA System Design Assurance"": NaN, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 53949, ""Seen"": 31.4, ""RSSI"": -23.5}]",00:04:28,00:05:08,"""taxi way delta closed between taxi way kilo and taxi wayt eto one taxi way kilo closed between runway one four and taxi way kilo one taxi way deto one between taxi way delta and  ils runway five right ou of service runway five righ approach tt out of service runway five right precisin approach passing de out of service runway two three righl rea a ol runway hold short andtrction contact ground on to one point nine for clearance and taxi instrction advi t you have information echo""",00:04:50,00:05:01,"""three six five i si f fourclear e approach fromwa f twee  fivefive  fivethre""",00:04:42,00:05:02,"""three t towroto ungtointotone mikethorlimo rightto tho leftvthree trulymikee"""
000600Z,[],00:05:53,00:06:21,"""ils runway five right out of service runway five right approach  t out of servics runway five right precision approach pass ingtiter out of service runway two three rg  reao runway hold short instruction contact roundonto point nine four clearance and taxi instructions advis on nitia contact you have information echo""",00:05:48,00:06:08,"""fofivfvftiiffoer or""",00:05:54,00:06:00,"""otthretos four one i six"""
000700Z,[],00:06:25,00:07:11,"""greenboro arport  information echo two three five four zulundclm one zero telig two five thousand broken two three two poimnt three an three zero two four visual approach five riget five left nus noir miiorunway one four three two plose taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and  ils runway five right out of service runway five right approach igt out of servie""",00:06:46,00:07:03,"""tetor two trezr four four fwour heavy three zero two eight romebithree zero two""",00:06:40,00:07:03,"""ue five six four threeof tzero fr fivefue"""
000800Z,[],00:07:56,00:08:05,"""visual approach five right five left anus notice till airmisi runway one four three two close""",00:07:59,00:08:09,"""november zero romeo contac tavel aproach one two five pointing one to eve two two""",00:07:57,00:08:03,"""two zero  f"""
000900Z,"[{""Time"": ""000910Z"", ""Hex"": ""ac8ce9"", ""Distance to GSO"": 9.812281409, ""Airspace Status"": ""Unknown"", ""Data Source Type"": ""adsb_icao"", ""Flight Number"": ""PDT5769 "", ""Aircraft Registration"": ""N908AE"", ""Aircraft Type"": ""E145"", ""Altitude Barometric"": ""6125"", ""Altitude Geometric"": 6500.0, ""Ground Speed"": 266.6, ""Track"": 225.46, ""Barometric Rate"": -1664.0, ""Squawk Code"": 1104.0, ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 36.260468, ""Longitude"": -79.95615, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.395, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": 3.0, ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 7601850, ""Seen"": 0.1, ""RSSI"": -5.9}]",00:08:50,00:09:30,"""greenporow aerport a information echo two three five four zulu wnd calm one zero ceel two five thousand broken two three two point three tin bel three zero two four visual approach five righ five left an us no runway one four three two klose taxi way delta closed between taxi way kilo and taxiway delta one taxi way kilo closed between runway one four and taxiway kilo one taxi way delta one between taxi way delta and""",00:08:59,00:09:04,"""ok oo thousand one to twro four five five""",00:08:52,00:09:02,"""four forkdfourtofork"""
