DT Time,Aircraft(Obj),ATIS Transcription Start,ATIS Transcription End,ATIS Transcription Text,Approach/Departure Transcription Start,Approach/Departure Transcription End,Approach/Departure Transcription Text,TOWER Transcription Start,TOWER Transcription End,TOWER Transcription Text
000000Z,"{""Time"": ""000000Z"", ""Hex"": ""a466c7"", ""Distance to GSO"": 9.146023045, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 495.0, ""Track"": 204.34, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 35.951083, ""Longitude"": -79.988183, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.068, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 10.0, ""NAC V"": 2.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 16602751, ""Seen"": 0.0, ""RSSI"": -10.9}",0:00:00,0:00:10,runwa two three right lifo pon diple reatdh call run wath hort short in stction contact roundd onone two be,0:00:00,0:00:10,zero u airvbel heading zero eigt zero zero i zero manti toof,0:00:00,0:00:10,twco wuoo
000030Z,None,None,None,None,None,None,None,None,None,None
000100Z,None,None,None,None,None,None,None,None,None,None
000130Z,None,None,None,None,None,None,None,None,None,None
000200Z,"{""Time"": ""000200Z"", ""Hex"": ""a86540"", ""Distance to GSO"": 9.747219937, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 433.4, ""Track"": 259.36, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 35.955551, ""Longitude"": -79.84045, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.059, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 9097019, ""Seen"": 0.1, ""RSSI"": -7.9}",0:01:50,0:02:00,lti three zero two four vsual approach five right five left neuce no tisto airmuisthons runway one four,0:01:50,0:02:00,ifufufor fortfue,0:01:50,0:02:00,nan
000230Z,"{""Time"": ""000230Z"", ""Hex"": ""a86540"", ""Distance to GSO"": 9.365603303, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 400.5, ""Track"": 256.87, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 35.943329, ""Longitude"": -79.91003, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.0, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 9097275, ""Seen"": 0.0, ""RSSI"": -9.9}",0:02:20,0:02:30,is runway five right croesition approach caffinticeebor out or  wish runway two hree righ lidlown u rea ba,0:02:20,0:02:30,ot,0:02:20,0:02:30,tao three five siothr  sixod three fike
000300Z,"{""Time"": ""000300Z"", ""Hex"": ""a32acf"", ""Distance to GSO"": 6.90734188, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 454.4, ""Track"": 53.86, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 36.173603, ""Longitude"": -80.0444, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.48, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 19614513, ""Seen"": 0.0, ""RSSI"": -9.4}",0:02:50,0:03:00,two three five four zulu wuf vesone zero peing two five thousand brokan atre two fure,0:02:50,0:03:00,nan,0:02:50,0:03:00,tw troeedto two
000330Z,"{""Time"": ""000330Z"", ""Hex"": ""a2d112"", ""Distance to GSO"": 7.779566345, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 139.0, ""Track"": 52.31, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": NaN, ""Latitude"": 36.164841, ""Longitude"": -79.800053, ""NIC Navigation Integrity Category"": 0.0, ""RC Navigation Accuracy Category"": 0.0, ""Seen Position"": 1.398, ""Version"": NaN, ""NIC Baro"": NaN, ""NAC P"": NaN, ""NAC V"": 0.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": NaN, ""SDA System Design Assurance"": NaN, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 53949, ""Seen"": 1.4, ""RSSI"": -23.5}",0:03:20,0:03:30,iloclos ee een runway one for and ctway tkilo one way delta one de wak t wat delta amd demar o remei ls runway five righed out al rvish,0:03:20,0:03:30,two zerotwo,0:03:30,0:03:40,three four zeroero bfourt
000400Z,"{""Time"": ""000400Z"", ""Hex"": ""a2d112"", ""Distance to GSO"": 7.779566345, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 139.0, ""Track"": 52.31, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": NaN, ""Latitude"": 36.164841, ""Longitude"": -79.800053, ""NIC Navigation Integrity Category"": 0.0, ""RC Navigation Accuracy Category"": 0.0, ""Seen Position"": 31.398, ""Version"": NaN, ""NIC Baro"": NaN, ""NAC P"": NaN, ""NAC V"": 0.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": NaN, ""SDA System Design Assurance"": NaN, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 53949, ""Seen"": 31.4, ""RSSI"": -23.5}",0:03:50,0:04:00,intrractrion at lige i on initiull contact you havv information echo goed,0:03:50,0:04:00,six fx foro t four,0:04:00,0:04:10,buk fo
000430Z,None,None,None,None,None,None,None,None,None,None
